;stage;fecha_hecho;poblacion;territorio;caracteristica;patrimonio;latitud;longitud;caso;valor;cantidad;id;nombre_barrio;codigo_barrio;codigo_comuna;lugar;sede_receptora;id;sexo;edad;estado_civil;grupo_actor;actividad_delictiva;parentesco;ocupacion;discapacidad;grupo_especial;medio_transporte;nivel_academico;testigo;id;conducta;modalidad;caracterizacion;conducta_especial;arma_medio;articulo_penal;categoria_penal;id;bien;categoria_bien;grupo_bien;modelo;color;permiso;unidad_medida
83780;HS_HURTO_GENERAL_2013_203;2003-01-29 09:00:00;07ab83f0191239f2f355a666b55c3f1add2229c7;e4c094c06ab11db1e6baaf8b43a5116ef75e54e6;6294eeb110d96bf3eafee4e9d69e2db90fe0536e;171fa4ad016b0a449b37cf8e9f99f3e0eafa72df;6,254313;-75,568083;FALSO;4000000;1;e4c094c06ab11db1e6baaf8b43a5116ef75e54e6;Estación Villa;#1005;10;Banco;Sin dato;07ab83f0191239f2f355a666b55c3f1add2229c7;Sin dato;-1;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;6294eeb110d96bf3eafee4e9d69e2db90fe0536e;Hurto a entidad financiera;Sin dato;Sin dato;Sin dato;Arma de fuego;Sin dato;Sin dato;171fa4ad016b0a449b37cf8e9f99f3e0eafa72df;Peso;Dinero, joyas, piedras preciosas y título valor;Mercancía;-1;Sin dato;Sin dato;Sin dato
83827;HS_HURTO_GENERAL_2010_619;2003-03-13 10:15:00;07ab83f0191239f2f355a666b55c3f1add2229c7;1a784fe2a226aef4ff886c35e2c864ddcbe769d7;a9327dbd7449e47fab9a912b3bdaab82f962f3b2;171fa4ad016b0a449b37cf8e9f99f3e0eafa72df;;;VERDADERO;5175000;1;1a784fe2a226aef4ff886c35e2c864ddcbe769d7;La Florida;#1417;14;Banco;Poblado;07ab83f0191239f2f355a666b55c3f1add2229c7;Sin dato;-1;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;a9327dbd7449e47fab9a912b3bdaab82f962f3b2;Hurto a entidad financiera;Atraco;Sin dato;Sin dato;Arma de fuego;Sin dato;Sin dato;171fa4ad016b0a449b37cf8e9f99f3e0eafa72df;Peso;Dinero, joyas, piedras preciosas y título valor;Mercancía;-1;Sin dato;Sin dato;Sin dato
84128;HS_HURTO_GENERAL_2010_2767;2003-07-25 12:11:00;07ab83f0191239f2f355a666b55c3f1add2229c7;7783b94c8366e853980347f77d51adffb54fa46b;a9327dbd7449e47fab9a912b3bdaab82f962f3b2;171fa4ad016b0a449b37cf8e9f99f3e0eafa72df;6,197875;-75,57445;VERDADERO;13700000;1;7783b94c8366e853980347f77d51adffb54fa46b;La Aguacatala;#1422;14;Banco;Poblado;07ab83f0191239f2f355a666b55c3f1add2229c7;Sin dato;-1;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;a9327dbd7449e47fab9a912b3bdaab82f962f3b2;Hurto a entidad financiera;Atraco;Sin dato;Sin dato;Arma de fuego;Sin dato;Sin dato;171fa4ad016b0a449b37cf8e9f99f3e0eafa72df;Peso;Dinero, joyas, piedras preciosas y título valor;Mercancía;-1;Sin dato;Sin dato;Sin dato
84309;HS_HURTO_GENERAL_2010_4096;2003-09-23 15:20:00;07ab83f0191239f2f355a666b55c3f1add2229c7;00ddcb02ab06b9d02cfc75aead6bf754ffa8a152;a9327dbd7449e47fab9a912b3bdaab82f962f3b2;171fa4ad016b0a449b37cf8e9f99f3e0eafa72df;6,269443;-75,59525;VERDADERO;4005999,75;1;00ddcb02ab06b9d02cfc75aead6bf754ffa8a152;Los Colores;#1114;11;Banco;Laureles;07ab83f0191239f2f355a666b55c3f1add2229c7;Sin dato;-1;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;a9327dbd7449e47fab9a912b3bdaab82f962f3b2;Hurto a entidad financiera;Atraco;Sin dato;Sin dato;Arma de fuego;Sin dato;Sin dato;171fa4ad016b0a449b37cf8e9f99f3e0eafa72df;Peso;Dinero, joyas, piedras preciosas y título valor;Mercancía;-1;Sin dato;Sin dato;Sin dato
84315;HS_HURTO_GENERAL_2013_3494;2003-09-23 13:00:00;07ab83f0191239f2f355a666b55c3f1add2229c7;fd072b240daf6e8949395239eebdb3d8d654ae34;6294eeb110d96bf3eafee4e9d69e2db90fe0536e;171fa4ad016b0a449b37cf8e9f99f3e0eafa72df;6,244847;-75,563914;FALSO;4061427;1;fd072b240daf6e8949395239eebdb3d8d654ae34;Bomboná No.1;#1015;10;Banco;Sin dato;07ab83f0191239f2f355a666b55c3f1add2229c7;Sin dato;-1;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;6294eeb110d96bf3eafee4e9d69e2db90fe0536e;Hurto a entidad financiera;Sin dato;Sin dato;Sin dato;Arma de fuego;Sin dato;Sin dato;171fa4ad016b0a449b37cf8e9f99f3e0eafa72df;Peso;Dinero, joyas, piedras preciosas y título valor;Mercancía;-1;Sin dato;Sin dato;Sin dato
85191;628fda7f46348491da382d5dafda4a68841e06ee;2017-06-05 09:30:00;6487dc9f8774d24bce88813472ddffefac0f3d2a;0aa6edd8d39691ac26e18f06de04c8725d3120b3;a9327dbd7449e47fab9a912b3bdaab82f962f3b2;171fa4ad016b0a449b37cf8e9f99f3e0eafa72df;6,24635927;-75,57205945;VERDADERO;3230000;1;0aa6edd8d39691ac26e18f06de04c8725d3120b3;Guayaquil;#1007;10;Banco;Candelaria;6487dc9f8774d24bce88813472ddffefac0f3d2a;Sin dato;-1;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Caminata;Sin dato;Sin dato;a9327dbd7449e47fab9a912b3bdaab82f962f3b2;Hurto a entidad financiera;Atraco;Sin dato;Sin dato;Arma de fuego;Sin dato;Sin dato;171fa4ad016b0a449b37cf8e9f99f3e0eafa72df;Peso;Dinero, joyas, piedras preciosas y título valor;Mercancía;-1;Sin dato;Sin dato;Sin dato
86488;HS_HURTO_GENERAL_2010_6725;2004-01-24 11:15:00;07ab83f0191239f2f355a666b55c3f1add2229c7;01b5ada8315c208c77ba8cd7cd1cc76cb1cf1579;6294eeb110d96bf3eafee4e9d69e2db90fe0536e;171fa4ad016b0a449b37cf8e9f99f3e0eafa72df;6,239491;-75,587397;VERDADERO;14700000;1;01b5ada8315c208c77ba8cd7cd1cc76cb1cf1579;Los Conquistadores;#1105;11;Banco;Laureles;07ab83f0191239f2f355a666b55c3f1add2229c7;Sin dato;-1;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;6294eeb110d96bf3eafee4e9d69e2db90fe0536e;Hurto a entidad financiera;Sin dato;Sin dato;Sin dato;Arma de fuego;Sin dato;Sin dato;171fa4ad016b0a449b37cf8e9f99f3e0eafa72df;Peso;Dinero, joyas, piedras preciosas y título valor;Mercancía;-1;Sin dato;Sin dato;Sin dato
86492;HS_HURTO_GENERAL_2013_5807;2004-01-24 11:15:00;07ab83f0191239f2f355a666b55c3f1add2229c7;b35537993dcdb7fd3919988bfbbcd065d9258907;6294eeb110d96bf3eafee4e9d69e2db90fe0536e;171fa4ad016b0a449b37cf8e9f99f3e0eafa72df;6,239491;-75,587397;VERDADERO;14700000;1;b35537993dcdb7fd3919988bfbbcd065d9258907;Los Conquistadores;#1105;11;Banco;Sin dato;07ab83f0191239f2f355a666b55c3f1add2229c7;Sin dato;-1;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;6294eeb110d96bf3eafee4e9d69e2db90fe0536e;Hurto a entidad financiera;Sin dato;Sin dato;Sin dato;Arma de fuego;Sin dato;Sin dato;171fa4ad016b0a449b37cf8e9f99f3e0eafa72df;Peso;Dinero, joyas, piedras preciosas y título valor;Mercancía;-1;Sin dato;Sin dato;Sin dato
86552;HS_HURTO_GENERAL_2010_7135;2004-02-23 10:30:00;07ab83f0191239f2f355a666b55c3f1add2229c7;16510be7a27982f4098582ebdd2743c02a96929a;a9327dbd7449e47fab9a912b3bdaab82f962f3b2;171fa4ad016b0a449b37cf8e9f99f3e0eafa72df;;;VERDADERO;44666712;1;16510be7a27982f4098582ebdd2743c02a96929a;Caribe;#0517;5;Banco;Castilla;07ab83f0191239f2f355a666b55c3f1add2229c7;Sin dato;-1;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;a9327dbd7449e47fab9a912b3bdaab82f962f3b2;Hurto a entidad financiera;Atraco;Sin dato;Sin dato;Arma de fuego;Sin dato;Sin dato;171fa4ad016b0a449b37cf8e9f99f3e0eafa72df;Peso;Dinero, joyas, piedras preciosas y título valor;Mercancía;-1;Sin dato;Sin dato;Sin dato
86607;HS_HURTO_GENERAL_2010_7517;2004-03-28 19:30:00;07ab83f0191239f2f355a666b55c3f1add2229c7;c92019d5d82bd34761cd3f3276a1471f196510a2;9dd648245b86181980ebdedd4395e812e3be8abc;171fa4ad016b0a449b37cf8e9f99f3e0eafa72df;6,242724;-75,576793;VERDADERO;125000000;1;c92019d5d82bd34761cd3f3276a1471f196510a2;La Alpujarra;#Inst_16;10;Banco;Candelaria;07ab83f0191239f2f355a666b55c3f1add2229c7;Sin dato;-1;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;9dd648245b86181980ebdedd4395e812e3be8abc;Hurto a entidad financiera;Ventosa;Sin dato;Sin dato;No;Sin dato;Sin dato;171fa4ad016b0a449b37cf8e9f99f3e0eafa72df;Peso;Dinero, joyas, piedras preciosas y título valor;Mercancía;-1;Sin dato;Sin dato;Sin dato
