;stage;fecha_hecho;poblacion;territorio;caracteristica;patrimonio;latitud;longitud;caso;valor;cantidad;id;nombre_barrio;codigo_barrio;codigo_comuna;lugar;sede_receptora;id;sexo;edad;estado_civil;grupo_actor;actividad_delictiva;parentesco;ocupacion;discapacidad;grupo_especial;medio_transporte;nivel_academico;testigo;id;conducta;modalidad;caracterizacion;conducta_especial;arma_medio;articulo_penal;categoria_penal;id;bien;categoria_bien;grupo_bien;modelo;color;permiso;unidad_medida
2153;HS_HURTO_GENERAL_2010_14900;2005-08-24 16:00:00;931364cb64038cd3922ef57d9f50b9a2967c96df;769cb72fdc938f4c96bf78662f8795e5c617cac5;eaacba87b3e029abdb58e4214b44ccc315fd2de2;0ab4f50acb668cf6c443a8b7ee35c3ca0a65c2e6;;;VERDADERO;9000000;1;769cb72fdc938f4c96bf78662f8795e5c617cac5;La Florida S.A.P.;#8001;80;Vía pública;Itagüí;931364cb64038cd3922ef57d9f50b9a2967c96df;Hombre;38;Casado(a);Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Caminata;Sin dato;Sin dato;eaacba87b3e029abdb58e4214b44ccc315fd2de2;Hurto de semoviente;Descuido;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;0ab4f50acb668cf6c443a8b7ee35c3ca0a65c2e6;Animales domésticos;Fauna;Mercancía;-1;Sin dato;Sin dato;Sin dato
4338;HS_HURTO_GENERAL_2013_20845;2007-12-17 08:00:00;6f4114ad71d7eaec5c18fb39ea7feb206c274d9a;27dde8cc2768ffd1d07960c8d69a2482a3e8efdd;429baa1a54a03fc261ea315e9160af5906391bdb;0ab4f50acb668cf6c443a8b7ee35c3ca0a65c2e6;6,276322;-75,573295;FALSO;5200000;1;27dde8cc2768ffd1d07960c8d69a2482a3e8efdd;Terminal de Transporte;#Inst_4;5;Vía pública;Castilla;6f4114ad71d7eaec5c18fb39ea7feb206c274d9a;Hombre;78;Casado(a);Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Caminata;Sin dato;Sin dato;429baa1a54a03fc261ea315e9160af5906391bdb;Hurto de semoviente;Arreo;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;0ab4f50acb668cf6c443a8b7ee35c3ca0a65c2e6;Animales domésticos;Fauna;Mercancía;-1;Sin dato;Sin dato;Sin dato
4805;HS_HURTO_GENERAL_2010_11782;2005-01-25 14:30:00;ffa28e1c7488a0dcfc60946793cdf4ab18669191;31594b19f217d2ff1a3cca54611fd740a41a940a;eaacba87b3e029abdb58e4214b44ccc315fd2de2;0ab4f50acb668cf6c443a8b7ee35c3ca0a65c2e6;;;VERDADERO;3000000;1;31594b19f217d2ff1a3cca54611fd740a41a940a;Barro Blanco;#9004;90;Finca;Villa Hermosa;ffa28e1c7488a0dcfc60946793cdf4ab18669191;Hombre;33;Casado(a);Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Caminata;Sin dato;Sin dato;eaacba87b3e029abdb58e4214b44ccc315fd2de2;Hurto de semoviente;Descuido;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;0ab4f50acb668cf6c443a8b7ee35c3ca0a65c2e6;Animales domésticos;Fauna;Mercancía;-1;Sin dato;Sin dato;Sin dato
4806;HS_HURTO_GENERAL_2013_10209;2005-01-25 14:30:00;ffa28e1c7488a0dcfc60946793cdf4ab18669191;31594b19f217d2ff1a3cca54611fd740a41a940a;eaacba87b3e029abdb58e4214b44ccc315fd2de2;0ab4f50acb668cf6c443a8b7ee35c3ca0a65c2e6;;;FALSO;3000000;1;31594b19f217d2ff1a3cca54611fd740a41a940a;Barro Blanco;#9004;90;Finca;Villa Hermosa;ffa28e1c7488a0dcfc60946793cdf4ab18669191;Hombre;33;Casado(a);Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Caminata;Sin dato;Sin dato;eaacba87b3e029abdb58e4214b44ccc315fd2de2;Hurto de semoviente;Descuido;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;0ab4f50acb668cf6c443a8b7ee35c3ca0a65c2e6;Animales domésticos;Fauna;Mercancía;-1;Sin dato;Sin dato;Sin dato
12803;1c3203b2-66e1-47a2-9ee0-317d2876ef01;2021-06-09 10:50:00;c956d3a5ba74ab1758c1fc2eea5e38a1729ca04f;e6a53c0025bb37fc57e1cd43b887619ca5232250;fa314032ba1b837f51e5230660ab8b5518ca573c;0ab4f50acb668cf6c443a8b7ee35c3ca0a65c2e6;6,18007876;-75,65413654;VERDADERO;4000000;1;e6a53c0025bb37fc57e1cd43b887619ca5232250;Área de expansión San Antonio De Prado;#AE7;80;Finca;San Antonio de Prado;c956d3a5ba74ab1758c1fc2eea5e38a1729ca04f;Hombre;50;Soltero(a);Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Caminata;Sin dato;Sin dato;fa314032ba1b837f51e5230660ab8b5518ca573c;Hurto de semoviente;Arreo;Sin dato;No;No;Sin dato;Sin dato;0ab4f50acb668cf6c443a8b7ee35c3ca0a65c2e6;Animales domésticos;Fauna;Mercancía;-1;Sin dato;Sin dato;Sin dato
13142;e2d22de3-4603-484a-934c-9879f0fecbd4;2021-12-20 04:00:00;46dbc32f782502262ed76e1ae8c3389f0e5c1b35;2a5bd54011a18e268d5990df52c1c396e7d46994;14ddbf55ca54e0eb4eef60d03b2869aa888e7b27;0ab4f50acb668cf6c443a8b7ee35c3ca0a65c2e6;6,29851804;-75,55980029;VERDADERO;29999998;1;2a5bd54011a18e268d5990df52c1c396e7d46994;Héctor Abad Gómez;#0507;5;Vía pública;Castilla;46dbc32f782502262ed76e1ae8c3389f0e5c1b35;Hombre;26;Unión marital de hecho;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Automóvil;Sin dato;Sin dato;14ddbf55ca54e0eb4eef60d03b2869aa888e7b27;Hurto de semoviente;Atraco;Sin dato;No;Arma de fuego;Sin dato;Sin dato;0ab4f50acb668cf6c443a8b7ee35c3ca0a65c2e6;Animales domésticos;Fauna;Mercancía;-1;Sin dato;Sin dato;Sin dato
15326;77b812768624099dafa68c144033c55c209d9baf;2017-03-28 02:00:00;8892bd24bec666c5816d96f012a57eaae1c02e97;4397036e43847034c4473af39dcb1f765603f6d2;fa314032ba1b837f51e5230660ab8b5518ca573c;0ab4f50acb668cf6c443a8b7ee35c3ca0a65c2e6;6,28674062;-75,64021435;VERDADERO;5000000;1;4397036e43847034c4473af39dcb1f765603f6d2;Pedregal Alto;#6013;60;Finca;Doce de Octubre;8892bd24bec666c5816d96f012a57eaae1c02e97;Hombre;50;Casado(a);Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Caminata;Sin dato;Sin dato;fa314032ba1b837f51e5230660ab8b5518ca573c;Hurto de semoviente;Arreo;Sin dato;No;No;Sin dato;Sin dato;0ab4f50acb668cf6c443a8b7ee35c3ca0a65c2e6;Animales domésticos;Fauna;Mercancía;-1;Sin dato;Sin dato;Sin dato
15837;HS_HURTO_GENERAL_2013_9340;2004-11-16 02:00:00;becc4ee759d301f55369589666881e3f62113ba6;e19465969c91a1bbcff3caec74c426cb444de5b8;25cf76920018f9adfd489cce7f9d2db850b40cf2;0ab4f50acb668cf6c443a8b7ee35c3ca0a65c2e6;;;VERDADERO;899999,9375;1;e19465969c91a1bbcff3caec74c426cb444de5b8;Robledo;#0717;7;Finca;Sin dato;becc4ee759d301f55369589666881e3f62113ba6;Hombre;47;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;25cf76920018f9adfd489cce7f9d2db850b40cf2;Hurto de semoviente;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;0ab4f50acb668cf6c443a8b7ee35c3ca0a65c2e6;Animales domésticos;Fauna;Mercancía;-1;Sin dato;Sin dato;Sin dato
24614;HS_HURTO_GENERAL_2010_8446;2004-06-08 21:20:00;0d1ad596240fb829439ede56261c24130b4aa26b;9a46629da9bb30fa6384576db1cc0540ada091d8;25cf76920018f9adfd489cce7f9d2db850b40cf2;0ab4f50acb668cf6c443a8b7ee35c3ca0a65c2e6;;;VERDADERO;3500000;1;9a46629da9bb30fa6384576db1cc0540ada091d8;Sin dato;SIN DATO;SIN DATO;Vía pública;Villa Hermosa;0d1ad596240fb829439ede56261c24130b4aa26b;Hombre;38;Soltero(a);Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;25cf76920018f9adfd489cce7f9d2db850b40cf2;Hurto de semoviente;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;0ab4f50acb668cf6c443a8b7ee35c3ca0a65c2e6;Animales domésticos;Fauna;Mercancía;-1;Sin dato;Sin dato;Sin dato
26372;HS_HURTO_GENERAL_2013_25974;2009-04-22 17:00:00;2304fff9989ca33b9dc51f561aec1225b91a0029;23d8286691b7e06ac2ffa09160ccc182b1465fea;821f222ab4ef884b6b98e78560b4b46280a1442f;0ab4f50acb668cf6c443a8b7ee35c3ca0a65c2e6;;;FALSO;14000000;1;23d8286691b7e06ac2ffa09160ccc182b1465fea;Sin dato;SIN DATO;SIN DATO;Finca;Belén;2304fff9989ca33b9dc51f561aec1225b91a0029;Hombre;60;Casado(a);Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Caminata;Sin dato;Sin dato;821f222ab4ef884b6b98e78560b4b46280a1442f;Hurto de semoviente;Arreo;Sin dato;Sin dato;Arma cortopunzante;Sin dato;Sin dato;0ab4f50acb668cf6c443a8b7ee35c3ca0a65c2e6;Animales domésticos;Fauna;Mercancía;-1;Sin dato;Sin dato;Sin dato
