;stage;fecha_hecho;poblacion;territorio;caracteristica;patrimonio;latitud;longitud;caso;valor;cantidad;id;nombre_barrio;codigo_barrio;codigo_comuna;lugar;sede_receptora;id;sexo;edad;estado_civil;grupo_actor;actividad_delictiva;parentesco;ocupacion;discapacidad;grupo_especial;medio_transporte;nivel_academico;testigo;id;conducta;modalidad;caracterizacion;conducta_especial;arma_medio;articulo_penal;categoria_penal;id;bien;categoria_bien;grupo_bien;modelo;color;permiso;unidad_medida
43;HS_HURTO_GENERAL_2010_129;2003-01-16 12:10:00;8d1f2da111189017022ca66246d6c06a625fa557;31c8eca04c8fcc31c5503bcafb18771da325bbab;e56f69b049f0569379756c7843638d0b6d852d82;2e95ee54793ffc74c6b66f1f0145597731ce8efe;6,248541;-75,573414;VERDADERO;2500000;1;31c8eca04c8fcc31c5503bcafb18771da325bbab;Guayaquil;#1007;10;Vía pública;Candelaria;8d1f2da111189017022ca66246d6c06a625fa557;Hombre;24;Soltero(a);Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;e56f69b049f0569379756c7843638d0b6d852d82;Hurto por piratería terrestre;Atraco;Sin dato;Piratería;Arma de fuego;Sin dato;Sin dato;2e95ee54793ffc74c6b66f1f0145597731ce8efe;Elementos escolares;Elementos escolares;Mercancía;-1;Sin dato;Sin dato;Sin dato
176;HS_HURTO_GENERAL_2013_1124;2003-05-08 15:30:00;fb31a03733b9b2aa135a2fd1689441b0bf0782d4;0e8b753781f6289234890faad321ef56828abbcf;351c2340f586cc48479956032af2465d65da8437;9ff06fb70ec5c7152c13c17319d4c597cccdf8dc;6,277819;-75,563805;FALSO;6000000;1;0e8b753781f6289234890faad321ef56828abbcf;Aranjuez;#0413;4;Vía pública;Sin dato;fb31a03733b9b2aa135a2fd1689441b0bf0782d4;Hombre;26;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;351c2340f586cc48479956032af2465d65da8437;Hurto por piratería terrestre;Sin dato;Sin dato;A vehículo repartidor;Arma de fuego;Sin dato;Sin dato;9ff06fb70ec5c7152c13c17319d4c597cccdf8dc;Pintura;Materiales y elementos para la construcción;Mercancía;-1;Sin dato;Sin dato;Sin dato
417;HS_HURTO_GENERAL_2010_4021;2003-09-20 07:00:00;fa5fc777003282835274210c5ae58cf347fc2bbb;2dc35d6aae3c61cf66cb29648b8c357590185d02;e56f69b049f0569379756c7843638d0b6d852d82;e26174fd77cddc039bd5b8feb8347cc9a1dbc93f;;;VERDADERO;3000000;1;2dc35d6aae3c61cf66cb29648b8c357590185d02;Naranjal;#1103;11;Vía pública;Laureles;fa5fc777003282835274210c5ae58cf347fc2bbb;Hombre;34;Casado(a);Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;e56f69b049f0569379756c7843638d0b6d852d82;Hurto por piratería terrestre;Atraco;Sin dato;Piratería;Arma de fuego;Sin dato;Sin dato;e26174fd77cddc039bd5b8feb8347cc9a1dbc93f;Carne;Alimento;Mercancía;-1;Sin dato;Sin dato;Sin dato
1211;HS_HURTO_GENERAL_2013_6801;2004-04-24 17:00:00;2d828e0d072d80853c22bf6174a40519ded790da;952c520c579248ebe4c2211d9d4e5d6820d1c329;5d7b4f0a73a53ae22a9bd6f796b6c40ad1d2be78;424e05987b51fd1ff326482d42fd812bc20fd791;6,248649;-75,568104;VERDADERO;16000000;1;952c520c579248ebe4c2211d9d4e5d6820d1c329;La Candelaria;#1019;10;Vía pública;Sin dato;2d828e0d072d80853c22bf6174a40519ded790da;Hombre;32;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;5d7b4f0a73a53ae22a9bd6f796b6c40ad1d2be78;Hurto por piratería terrestre;Sin dato;Sin dato;A vehículo repartidor;Sin dato;Sin dato;Sin dato;424e05987b51fd1ff326482d42fd812bc20fd791;Electrodoméstico video y audio y accesorios;Electrodomésticos;Mercancía;-1;Sin dato;Sin dato;Sin dato
1375;HS_HURTO_GENERAL_2013_8364;2004-08-18 17:00:00;13b81a8099f498b07346a6aabd874a7de078404b;2f86ff64c44e2d2a882734b20734eeaab21425f7;5d7b4f0a73a53ae22a9bd6f796b6c40ad1d2be78;cc2444ee9c4815a2df2608243ab62815a280512d;6,221655;-75,579753;VERDADERO;8000000;1;2f86ff64c44e2d2a882734b20734eeaab21425f7;Santa Fé;#1504;15;Vía pública;Sin dato;13b81a8099f498b07346a6aabd874a7de078404b;Hombre;36;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;5d7b4f0a73a53ae22a9bd6f796b6c40ad1d2be78;Hurto por piratería terrestre;Sin dato;Sin dato;A vehículo repartidor;Sin dato;Sin dato;Sin dato;cc2444ee9c4815a2df2608243ab62815a280512d;Telas;Otros elementos;Mercancía;-1;Sin dato;Sin dato;Sin dato
1451;HS_HURTO_GENERAL_2010_10402;2004-10-21 11:30:00;fa33208c06c35416fd1e7856e1fa7f8bd006f4b4;4a547bb4bfedbed86cd627e8ed2853a13e0beca1;e56f69b049f0569379756c7843638d0b6d852d82;6729f9c5c05c3dfa0a20e89a44a2c7eba2ecb0dd;;;VERDADERO;4200000;1;4a547bb4bfedbed86cd627e8ed2853a13e0beca1;San Benito;#1006;10;Vía pública;Candelaria;fa33208c06c35416fd1e7856e1fa7f8bd006f4b4;Hombre;42;Casado(a);Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;e56f69b049f0569379756c7843638d0b6d852d82;Hurto por piratería terrestre;Atraco;Sin dato;Piratería;Arma de fuego;Sin dato;Sin dato;6729f9c5c05c3dfa0a20e89a44a2c7eba2ecb0dd;Carbohidratos y dulces;Alimento;Mercancía;-1;Sin dato;Sin dato;Sin dato
2120;HS_HURTO_GENERAL_2010_14257;2005-07-19 09:40:00;a2a3029053190bf1461d83d2590d3c68d7e580bf;d1d4bed61299f979bb628cf5250a8657bc610aff;bc0c0db3e14688bca42da378667dd526a4a010aa;5ae7d6cf2827f7968abcb5e124fffb51264182a5;;;VERDADERO;3000000;1;d1d4bed61299f979bb628cf5250a8657bc610aff;San Benito;#1006;10;Vehículo particular;Candelaria;a2a3029053190bf1461d83d2590d3c68d7e580bf;Hombre;43;Casado(a);Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Automóvil;Sin dato;Sin dato;bc0c0db3e14688bca42da378667dd526a4a010aa;Hurto por piratería terrestre;Atraco;Sin dato;Sin dato;Arma de fuego;Sin dato;Sin dato;5ae7d6cf2827f7968abcb5e124fffb51264182a5;Sin dato mercancías;Sin dato mercancías;Mercancía;-1;Sin dato;Sin dato;Sin dato
2121;HS_HURTO_GENERAL_2013_12454;2005-07-19 09:40:00;a2a3029053190bf1461d83d2590d3c68d7e580bf;d1d4bed61299f979bb628cf5250a8657bc610aff;bc0c0db3e14688bca42da378667dd526a4a010aa;5ae7d6cf2827f7968abcb5e124fffb51264182a5;;;FALSO;3000000;1;d1d4bed61299f979bb628cf5250a8657bc610aff;San Benito;#1006;10;Vehículo particular;Candelaria;a2a3029053190bf1461d83d2590d3c68d7e580bf;Hombre;43;Casado(a);Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Automóvil;Sin dato;Sin dato;bc0c0db3e14688bca42da378667dd526a4a010aa;Hurto por piratería terrestre;Atraco;Sin dato;Sin dato;Arma de fuego;Sin dato;Sin dato;5ae7d6cf2827f7968abcb5e124fffb51264182a5;Sin dato mercancías;Sin dato mercancías;Mercancía;-1;Sin dato;Sin dato;Sin dato
2333;HS_HURTO_GENERAL_2010_240;2003-01-27 10:30:00;8142496ca9a86ff084eba1eee101580b4bd73d83;43aa1b9fd761e6424fa0bf9c77638fabd285d8ab;e56f69b049f0569379756c7843638d0b6d852d82;5ae7d6cf2827f7968abcb5e124fffb51264182a5;6,194907;-75,580034;VERDADERO;3000000;1;43aa1b9fd761e6424fa0bf9c77638fabd285d8ab;La Aguacatala;#1422;14;Vía pública;Poblado;8142496ca9a86ff084eba1eee101580b4bd73d83;Hombre;32;Soltero(a);Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;e56f69b049f0569379756c7843638d0b6d852d82;Hurto por piratería terrestre;Atraco;Sin dato;Piratería;Arma de fuego;Sin dato;Sin dato;5ae7d6cf2827f7968abcb5e124fffb51264182a5;Sin dato mercancías;Sin dato mercancías;Mercancía;-1;Sin dato;Sin dato;Sin dato
2996;HS_HURTO_GENERAL_2013_3664;2003-09-30 22:15:00;5c1e61a87a37de82d94244eeafdda117f92b86c9;e5808349cf7771f2ed2033bc7d6ba9fabdd42435;f9184bfb88ed7af925ec6dfb2de0b9681e1abb46;bba497dc18cd5c3ed7be35a5114d58ad123406aa;6,240874;-75,60092;FALSO;18000000;1;e5808349cf7771f2ed2033bc7d6ba9fabdd42435;Las Acacias;#1109;11;Vehículo particular;Sin dato;5c1e61a87a37de82d94244eeafdda117f92b86c9;Hombre;52;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;f9184bfb88ed7af925ec6dfb2de0b9681e1abb46;Hurto por piratería terrestre;Sin dato;Sin dato;Sin dato;Arma de fuego;Sin dato;Sin dato;bba497dc18cd5c3ed7be35a5114d58ad123406aa;Instrumento musical;Música;Mercancía;-1;Sin dato;Sin dato;Sin dato
